"","code","group","section","yearsrn","gender","age","race","hr_post","hr_pre","ir_post","ir_pre","n_post","n_pre","overall_post","overall_pre","pa_post","pa_pre","sg_post","sg_pre","sm_post","sm_pre","overall_delta","hr_delta","pa_delta","n_delta","sg_delta","ir_delta","sm_delta"
"47","9476","A","1",10,"Female",38,"White",2.11111111111111,1.88888888888889,2,1.88888888888889,2.77777777777778,3.55555555555556,2.23076923076923,2.36538461538462,2,2.75,2.77777777777778,2.33333333333333,1.625,1.75,-0.134615384615385,0.222222222222222,-0.75,-0.777777777777778,0.444444444444444,0.111111111111111,-0.125
"48","9812","A","1",10,"Female",36,"Other",2.33333333333333,1.77777777777778,3.44444444444444,3.44444444444444,2.77777777777778,2.11111111111111,2.86538461538462,2.82692307692308,2.5,3.25,3.55555555555556,3.55555555555556,2.5,2.875,0.0384615384615383,0.555555555555556,-0.75,0.666666666666667,0,0,-0.375
"49","9974","A","1",5,"Male",36,"White",2.88888888888889,2.55555555555556,3.55555555555556,3.77777777777778,2.77777777777778,2.77777777777778,2.98076923076923,2.96153846153846,2.75,3.25,3.55555555555556,3.11111111111111,2.25,2.25,0.0192307692307692,0.333333333333333,-0.5,0,0.444444444444444,-0.222222222222222,0
"50","Boomer","A","2",14,"Female",38,"White",2,3,3,3.11111111111111,2,2.33333333333333,2.69230769230769,3.09615384615385,3.625,3.875,3.44444444444444,3.66666666666667,2.125,2.625,-0.403846153846154,-1,-0.25,-0.333333333333333,-0.222222222222222,-0.111111111111111,-0.5
"51","Brazil14","B","1",0.5,"Male",28,"White",1.77777777777778,2.11111111111111,2.77777777777778,2.55555555555556,2.44444444444444,2.44444444444444,2.19230769230769,2.23076923076923,1.5,1.5,3.11111111111111,3.33333333333333,1.375,1.25,-0.0384615384615383,-0.333333333333333,0,0,-0.222222222222222,0.222222222222222,0.125
"52","CAMPING","A","3",20,"Female",NA,"White",3,3.33333333333333,3.77777777777778,3.55555555555556,3.11111111111111,2.88888888888889,3.21153846153846,3.13461538461538,2.375,2.25,3.66666666666667,3.55555555555556,3.25,3.125,0.0769230769230771,-0.333333333333333,0.125,0.222222222222222,0.111111111111111,0.222222222222222,0.125
"53","Captain","A","2",2.5,"Female",24,"White",1.77777777777778,1.77777777777778,2.66666666666667,2.44444444444444,1.55555555555556,1.66666666666667,1.98076923076923,1.90384615384615,1.875,1.375,2.33333333333333,2.22222222222222,1.625,1.875,0.0769230769230771,0,0.5,-0.111111111111111,0.111111111111111,0.222222222222222,-0.25
"54","Carrots11","B","1",1,"Female",25,"White",2.55555555555556,2.88888888888889,3.88888888888889,3.66666666666667,3,3,3.34615384615385,3.07692307692308,3.75,3,3.66666666666667,3,3.25,2.875,0.269230769230769,-0.333333333333333,0.75,0,0.666666666666667,0.222222222222222,0.375
"55","CRB1986","B","1",9,"Female",40,"White",2.55555555555556,2.66666666666667,3.55555555555556,3.55555555555556,3.11111111111111,2.77777777777778,2.76923076923077,2.78846153846154,2.125,2.125,3.11111111111111,3,2,2.5,-0.0192307692307692,-0.111111111111111,0,0.333333333333333,0.111111111111111,0,-0.5
"56","CUC4","A","1",4,"Female",NA,NA,3.11111111111111,3.11111111111111,3,3,3.22222222222222,2.77777777777778,2.94230769230769,2.90384615384615,2.5,2.75,3.11111111111111,3.33333333333333,2.625,2.375,0.0384615384615388,0,-0.25,0.444444444444445,-0.222222222222222,0,0.25
"57","GY742013","B","1",11,"Female",35,"White",2.22222222222222,2.11111111111111,3.22222222222222,2.44444444444444,2.66666666666667,2.22222222222222,2.59615384615385,2.23076923076923,2.125,1.875,2.88888888888889,2.66666666666667,2.375,2,0.365384615384615,0.111111111111111,0.25,0.444444444444444,0.222222222222222,0.777777777777778,0.375
"58","hanbihanhee","B","1",1,"Female",37,"Other",3,2.55555555555556,3.66666666666667,3.22222222222222,3.66666666666667,3.33333333333333,3.38461538461538,2.90384615384615,3,2.75,3.88888888888889,3.11111111111111,3,2.375,0.480769230769231,0.444444444444445,0.25,0.333333333333333,0.777777777777778,0.444444444444444,0.625
"59","Keylee14","A","3",5,"Female",31,"White",3.44444444444444,3.22222222222222,3.77777777777778,3.66666666666667,3.55555555555556,3.77777777777778,3.55769230769231,3.5,4,3.75,3.66666666666667,3.55555555555556,2.875,3,0.0576923076923075,0.222222222222222,0.25,-0.222222222222222,0.111111111111111,0.111111111111111,-0.125
"60","KORE","A","1",16,"Female",34,"Black",3.55555555555556,2.44444444444444,3.55555555555556,2.77777777777778,3.33333333333333,3.22222222222222,3.38461538461538,2.75,3.375,2.125,3.66666666666667,3.22222222222222,2.75,2.625,0.634615384615385,1.11111111111111,1.25,0.111111111111111,0.444444444444444,0.777777777777778,0.125
"61","LOVELIFE<3","A","1",5,"Male",30,"White",1.77777777777778,1.44444444444444,2.44444444444444,2.22222222222222,1.66666666666667,2,2.05769230769231,2.15384615384615,1.75,2.375,2.66666666666667,2.55555555555556,2,2.375,-0.0961538461538463,0.333333333333333,-0.625,-0.333333333333333,0.111111111111111,0.222222222222222,-0.375
"62","M2145M","B","2",1.5,"Female",27,"White",2.88888888888889,2.33333333333333,3.33333333333333,3,2.44444444444444,2.55555555555556,2.67307692307692,2.53846153846154,2.25,2.125,3,3.11111111111111,2,2,0.134615384615385,0.555555555555555,0.125,-0.111111111111111,-0.111111111111111,0.333333333333333,0
"63","MSF236","A","2",37,"Female",55,"White",2.55555555555556,2.44444444444444,3.77777777777778,3.44444444444444,2.88888888888889,3,2.90384615384615,2.90384615384615,1.625,2.125,4,3.66666666666667,2.375,2.625,0,0.111111111111111,-0.5,-0.111111111111111,0.333333333333333,0.333333333333333,-0.25
"64","Pink123","B","1",15,"Female",51,"White",2.88888888888889,2.77777777777778,2.66666666666667,3.11111111111111,2.33333333333333,2.66666666666667,2.63461538461538,2.82692307692308,2.875,3,2.55555555555556,2.88888888888889,2.5,2.5,-0.192307692307693,0.111111111111111,-0.125,-0.333333333333333,-0.333333333333333,-0.444444444444445,0
"65","rana13","A","3",4,"Female",31,"White",2.55555555555556,2.55555555555556,3.11111111111111,3.11111111111111,3.33333333333333,3.44444444444444,2.80769230769231,2.84615384615385,2.5,2.375,3.22222222222222,3.22222222222222,2,2.25,-0.0384615384615388,0,0.125,-0.111111111111111,0,0,-0.25
"66","Scooter3835","A","1",5,"Female",28,"White",3.11111111111111,2.5,3.55555555555556,3.25,3.44444444444444,2.55555555555556,2.86538461538462,2.5625,1.375,1.42857142857143,3,3,2.5,2.42857142857143,0.302884615384615,0.611111111111111,-0.0535714285714286,0.888888888888889,0,0.305555555555555,0.0714285714285716
"67","scw1","B","2",5,"NA",28,"Black",2.88888888888889,3,3,3.22222222222222,2.44444444444444,2.66666666666667,2.88461538461538,3.01923076923077,2.875,2.75,3.33333333333333,3.33333333333333,2.75,3.125,-0.134615384615385,-0.111111111111111,0.125,-0.222222222222222,0,-0.222222222222222,-0.375
"68","SUPERGIDDULI","B","2",5,"Female",35,"White",2.88888888888889,2.22222222222222,2.66666666666667,2.77777777777778,3.11111111111111,2.77777777777778,2.98076923076923,2.65384615384615,3.5,2.625,3,3,2.75,2.5,0.326923076923077,0.666666666666667,0.875,0.333333333333333,0,-0.111111111111111,0.25
"69","watermelon","B","1",0,"Female",26,"White",3.22222222222222,2.66666666666667,4,3.66666666666667,3.11111111111111,2.55555555555556,3.46153846153846,3.09615384615385,3.75,3.875,4,3.33333333333333,2.625,2.5,0.365384615384615,0.555555555555556,-0.125,0.555555555555556,0.666666666666667,0.333333333333333,0.125
"70","Wilson316","B","1",1,"Female",31,"Other",3.33333333333333,2.55555555555556,2.88888888888889,2.77777777777778,2.33333333333333,2.33333333333333,2.76923076923077,2.38461538461538,1.75,1.75,3.44444444444444,3,2.75,1.75,0.384615384615385,0.777777777777778,0,0,0.444444444444445,0.111111111111111,1
